no;idstud;idschool;studwgt;math;read;migrant;books;hisei;paredu;female;urban
95;10043601;1004;6.032214156;616;626;0;5;88;7;1;0
96;10043667;1004;6.306405709;699;440;1;2;49;2;1;0
97;10043742;1004;6.306405709;703;547;0;NA;38;3;0;0
98;10043828;1004;6.032214156;628;541;NA;6;56;7;0;0
99;10043835;1004;6.032214156;581;574;0;5;69;7;1;0
100;10043929;1004;6.283556413;699;584;0;5;55;2;0;0
101;10043984;1004;6.306405709;663;511;0;5;69;7;0;0
102;10044024;1004;6.032214156;NA;385;NA;NA;NA;NA;0;0
103;10044175;1004;6.283556413;651;553;0;4;53;5;1;0
104;10044200;1004;6.032214156;616;578;0;5;53;3;1;0
105;10044209;1004;6.032214156;484;528;0;3;43;4;1;0
106;10044246;1004;6.283556413;729;630;0;5;43;4;1;0
107;10044306;1004;6.306405709;648;603;1;5;71;7;1;0
108;10044431;1004;6.032214156;511;520;0;6;43;7;0;0
109;10044459;1004;6.306405709;735;618;0;6;70;6;0;0
110;10044503;1004;6.306405709;729;645;0;6;38;5;0;0
111;10044765;1004;6.306405709;562;648;0;4;51;7;1;0
112;10044873;1004;6.283556413;594;525;0;3;23;4;0;0
113;10044951;1004;6.283556413;605;504;0;4;52;7;0;0
114;10044983;1004;6.306405709;713;612;0;3;69;3;0;0
115;10045124;1004;6.032214156;539;568;0;6;85;7;1;0
116;10045172;1004;6.283556413;594;583;0;3;NA;1;1;0
117;10045260;1004;6.306405709;626;651;0;6;70;7;1;0
118;10045471;1004;6.283556413;562;572;0;3;66;3;1;0
119;10045592;1004;6.283556413;673;623;0;5;23;2;1;0
120;10045639;1004;6.306405709;550;NA;0;3;51;4;1;0
121;10045707;1004;6.283556413;660;594;NA;NA;88;NA;1;0
122;10045824;1004;6.306405709;NA;598;NA;NA;NA;NA;1;0
123;10045826;1004;6.032214156;605;636;NA;6;NA;NA;0;0
124;10045921;1004;6.032214156;594;436;NA;6;70;7;0;0
125;10045929;1004;6.283556413;713;627;0;6;51;2;0;0
126;10045939;1004;6.283556413;685;601;1;5;88;5;1;0
127;10046032;1004;6.283556413;699;535;0;5;40;2;0;0
128;10046470;1004;6.283556413;594;574;0;4;NA;4;1;0
129;10046496;1004;6.032214156;626;601;0;5;56;4;1;0
130;10046724;1004;6.032214156;461;489;0;4;51;3;1;0
131;10060006;1006;6.532881465;554;464;1;3;28;NA;1;0
132;10060017;1006;6.532881465;453;471;0;4;43;2;1;0
133;10060150;1006;6.29956427;NA;452;NA;NA;NA;NA;1;0
134;10060181;1006;7.499481274;562;633;1;4;59;3;0;0
135;10060206;1006;6.29956427;414;355;0;3;43;2;0;0
136;10060215;1006;6.29956427;460;420;1;1;33;3;0;0
137;10060383;1006;6.532881465;NA;588;NA;NA;NA;NA;1;0
138;10060398;1006;6.532881465;503;513;NA;4;30;1;0;0
139;10060464;1006;6.532881465;572;614;0;6;34;2;1;0
140;10060518;1006;7.499481274;338;462;NA;1;NA;2;0;0
141;10060571;1006;6.532881465;373;370;0;3;16;4;1;0
142;10060818;1006;6.532881465;515;380;1;2;34;2;0;0
143;10060867;1006;6.532881465;565;485;0;3;43;2;0;0
144;10061001;1006;7.499481274;594;500;0;5;NA;4;1;0
145;10061066;1006;6.29956427;648;655;0;4;52;2;1;0
146;10061148;1006;7.499481274;466;NA;1;1;34;2;0;0
147;10061161;1006;6.532881465;532;438;NA;3;45;NA;1;0
148;10061463;1006;6.29956427;616;578;0;5;70;6;1;0
149;10061512;1006;6.532881465;486;494;1;1;30;1;1;0
150;10061538;1006;6.29956427;539;539;0;5;51;4;1;0
151;10061664;1006;6.29956427;543;531;0;4;54;2;1;0
152;10061830;1006;6.532881465;431;429;0;4;23;2;0;0
153;10061883;1006;6.29956427;573;571;0;3;71;3;0;0
154;10061927;1006;7.499481274;437;NA;1;NA;70;1;1;0
155;10062007;1006;7.499481274;584;550;NA;NA;NA;NA;0;0
156;10062137;1006;7.499481274;NA;352;NA;NA;NA;NA;0;0
157;10062191;1006;6.532881465;491;407;0;1;30;NA;0;0
158;10062343;1006;6.532881465;674;531;0;6;70;7;0;0
159;10062376;1006;6.532881465;479;583;0;3;23;2;1;0
160;10062563;1006;7.499481274;675;576;1;1;NA;1;1;0
161;10062646;1006;6.29956427;369;438;0;3;69;3;1;0
162;10062785;1006;6.29956427;388;384;1;3;51;2;1;0
163;10062786;1006;7.499481274;NA;516;NA;NA;NA;NA;1;0
164;10062876;1006;6.532881465;503;500;0;2;54;NA;0;0
165;10062964;1006;7.499481274;548;559;1;5;NA;NA;0;0
166;10063107;1006;6.29956427;386;355;0;2;43;2;1;0
167;10063181;1006;7.499481274;570;570;NA;4;23;2;0;0
168;10063232;1006;6.29956427;476;425;0;3;23;2;0;0
169;10063320;1006;6.29956427;473;446;0;1;67;4;0;0
170;10063325;1006;6.532881465;550;520;NA;2;29;2;0;0
171;10063427;1006;7.499481274;NA;671;NA;NA;NA;NA;1;0
172;10063495;1006;6.532881465;559;541;0;3;33;2;0;0
173;10063530;1006;6.532881465;431;460;0;3;38;1;1;0
174;10063550;1006;6.29956427;572;456;0;4;43;NA;0;0
175;10063640;1006;6.532881465;565;511;0;1;50;NA;0;0
176;10063707;1006;6.29956427;476;531;0;4;NA;7;1;0
177;10063755;1006;6.29956427;521;528;0;4;64;2;1;0
178;10063875;1006;6.29956427;570;526;0;5;43;2;0;0
179;10063920;1006;7.499481274;414;430;0;2;27;2;0;0
180;10063967;1006;6.29956427;424;462;0;4;68;4;0;0
181;10064000;1006;6.532881465;539;NA;0;3;43;3;0;0
182;10064059;1006;7.499481274;373;491;1;1;27;1;1;0
183;10064071;1006;7.499481274;536;553;0;6;69;7;0;0
184;10064194;1006;6.532881465;453;508;1;2;51;4;1;0
185;10064414;1006;7.499481274;461;550;0;4;53;3;0;0
186;10064605;1006;6.532881465;554;459;0;3;NA;4;0;0
187;10064611;1006;6.29956427;538;502;0;4;43;2;1;0
188;10064635;1006;6.29956427;515;489;0;3;45;2;1;0
189;10064725;1006;7.499481274;498;486;0;4;33;1;1;0
190;10065092;1006;6.29956427;460;369;1;3;34;4;0;0
191;10065111;1006;6.532881465;532;491;0;1;23;1;1;0
192;10065167;1006;7.499481274;498;451;0;NA;34;NA;0;0
193;10065252;1006;6.532881465;570;616;0;3;23;1;1;0
194;10065453;1006;6.29956427;543;441;0;4;43;2;0;0
195;10065470;1006;7.499481274;416;444;0;NA;NA;NA;0;0
196;10065495;1006;6.29956427;348;379;0;6;69;3;0;0
197;10065577;1006;7.499481274;498;595;0;4;56;3;0;0
198;10065673;1006;6.29956427;466;529;1;4;38;2;1;0
199;10065690;1006;7.499481274;355;442;0;2;23;2;1;0
200;10065749;1006;7.499481274;431;422;1;NA;NA;7;1;0
201;10065796;1006;6.29956427;570;626;0;4;33;2;1;0
202;10065899;1006;7.499481274;651;NA;0;NA;70;NA;0;0
203;10065904;1006;6.532881465;570;502;0;2;44;2;0;0
204;10066040;1006;6.29956427;415;506;1;2;54;7;1;0
205;10066111;1006;6.532881465;466;437;1;3;29;NA;1;0
206;10066476;1006;6.532881465;595;597;NA;3;43;NA;1;0
207;10066490;1006;6.29956427;479;455;0;3;52;2;1;0
208;10066594;1006;7.499481274;594;565;0;4;45;2;1;0
209;10066697;1006;6.532881465;532;485;0;5;NA;2;1;0
210;10080008;1008;9.01038278;511;563;0;4;23;NA;1;0
211;10080139;1008;9.01038278;786;633;0;6;43;7;0;0
212;10080241;1008;8.649967469;559;550;0;3;34;4;1;0
213;10080356;1008;9.01038278;594;622;0;5;60;7;1;0
214;10080401;1008;8.649967469;689;613;0;5;58;4;0;0
215;10080513;1008;9.01038278;524;492;0;4;43;4;0;0
216;10080550;1008;9.01038278;539;616;0;4;38;5;1;0
217;10080587;1008;8.649967469;536;580;0;1;43;2;1;0
218;10080683;1008;9.01038278;527;443;0;5;69;3;0;0
219;10080773;1008;9.01038278;703;629;0;5;33;6;1;0
220;10081206;1008;8.649967469;515;530;0;3;90;7;1;0
221;10081349;1008;9.01038278;651;611;1;4;38;5;0;0
222;10081569;1008;9.01038278;490;547;0;4;70;6;1;0
223;10081998;1008;8.649967469;628;578;0;6;55;4;1;0
224;10082443;1008;9.01038278;536;541;0;3;61;4;0;0
225;10082541;1008;9.01038278;800;621;0;5;56;NA;0;0
226;10083039;1008;8.649967469;461;508;0;3;52;2;1;0
227;10083093;1008;8.649967469;713;646;0;5;70;6;1;0
228;10083159;1008;8.649967469;685;566;0;5;55;1;0;0
229;10083195;1008;9.01038278;573;569;0;5;53;2;0;0
230;10083245;1008;8.649967469;562;593;0;5;65;3;1;0
231;10083321;1008;9.01038278;417;529;0;4;54;3;1;0
232;10083480;1008;8.649967469;713;650;0;6;59;3;0;0
233;10084064;1008;8.649967469;663;640;0;4;23;4;0;0
234;10084081;1008;8.649967469;729;545;0;4;53;2;0;0
235;10084107;1008;8.649967469;605;606;0;6;40;4;1;0
236;10084223;1008;9.01038278;562;561;NA;4;69;7;0;0
237;10084360;1008;9.01038278;594;493;0;5;69;3;0;0
238;10084439;1008;8.649967469;764;595;0;5;43;4;0;0
239;10084535;1008;8.649967469;527;522;0;3;43;1;1;0
240;10084610;1008;9.01038278;603;550;0;3;NA;2;1;0
241;10084851;1008;8.649967469;524;630;0;6;55;7;1;0
242;10084945;1008;8.649967469;539;518;0;6;49;7;1;0
243;10084956;1008;9.01038278;581;630;0;6;88;7;1;0
244;10085041;1008;9.01038278;685;593;0;4;68;7;0;0
245;10085065;1008;8.649967469;470;576;0;4;45;2;1;0
246;10085319;1008;9.01038278;699;649;0;5;51;2;1;0
247;10085400;1008;8.649967469;735;603;0;5;23;4;0;0
248;10085426;1008;8.649967469;524;530;1;NA;NA;3;0;0
249;10086329;1008;9.01038278;703;561;0;5;NA;5;0;0
250;10086430;1008;9.01038278;699;609;1;5;38;5;0;0
251;10086499;1008;9.01038278;511;581;0;6;43;4;1;0
252;10086634;1008;8.649967469;651;572;0;5;23;7;0;0
253;10086687;1008;9.01038278;559;551;0;1;27;3;0;0
254;10086699;1008;9.01038278;753;647;0;5;52;6;0;0
255;10086733;1008;8.649967469;548;588;0;5;43;2;1;0
256;10090009;1009;11.45529602;460;428;1;3;23;7;0;0
257;10090028;1009;11.95335237;491;407;0;6;NA;NA;0;0
258;10090202;1009;11.45529602;515;595;0;4;69;7;1;0
259;10090289;1009;11.45529602;446;486;0;2;40;2;0;0
260;10090310;1009;11.45529602;460;496;0;3;34;2;1;0
261;10090407;1009;11.95335237;603;NA;1;2;88;1;0;0
262;10090433;1009;11.95335237;573;554;0;5;43;3;1;0
263;10090522;1009;11.95335237;397;439;0;3;85;3;1;0
264;10090530;1009;11.95335237;527;593;0;5;74;3;1;0
265;10090699;1009;11.95335237;454;558;0;3;53;5;1;0
266;10090800;1009;11.95335237;510;531;0;3;43;3;1;0
267;10090819;1009;11.45529602;453;NA;0;4;34;3;0;0
268;10090984;1009;11.45529602;581;500;0;4;53;2;1;0
269;10091063;1009;11.95335237;581;542;0;5;53;3;0;0
270;10091135;1009;11.95335237;453;NA;0;4;29;1;0;0
271;10091169;1009;11.95335237;648;592;1;3;NA;1;0;0
272;10091367;1009;11.95335237;429;476;0;2;67;2;0;0
273;10091439;1009;11.95335237;573;519;0;2;23;2;0;0
274;10091455;1009;11.45529602;340;541;0;3;43;2;1;0
275;10091585;1009;11.45529602;453;555;0;2;53;1;1;0
276;10091677;1009;11.95335237;660;593;0;6;69;7;0;0
277;10091709;1009;11.45529602;439;476;0;3;38;NA;0;0
278;10091784;1009;11.45529602;415;503;0;2;34;4;1;0
279;10091919;1009;11.95335237;527;540;0;2;43;2;1;0
280;10092134;1009;11.45529602;414;421;0;1;30;4;0;0
281;10092364;1009;11.45529602;515;500;0;6;51;4;1;0
282;10092418;1009;11.45529602;521;579;0;4;54;2;0;0
283;10092459;1009;11.95335237;397;523;0;2;NA;2;1;0
284;10092656;1009;11.95335237;466;433;0;1;74;5;1;0
285;10092758;1009;11.45529602;559;537;0;6;44;2;1;0
286;10092804;1009;11.45529602;498;374;0;1;38;5;0;0
287;10093115;1009;11.45529602;484;530;0;5;30;2;0;0
288;10093233;1009;11.95335237;424;578;0;4;43;5;1;0
289;10093296;1009;11.45529602;446;447;0;1;30;2;0;0
290;10093620;1009;11.95335237;439;492;0;3;40;2;1;0
291;10093703;1009;11.95335237;355;426;0;6;43;1;1;0
292;10093838;1009;11.45529602;503;519;NA;4;NA;NA;1;0
293;10093877;1009;11.45529602;428;416;0;3;56;NA;0;0
294;10094332;1009;11.95335237;688;524;0;5;29;6;0;0
295;10094588;1009;11.45529602;535;414;1;3;44;2;0;0
296;10094713;1009;11.45529602;538;573;0;4;39;1;0;0
297;10095155;1009;11.95335237;538;603;0;5;60;6;1;0
298;10095201;1009;11.95335237;NA;478;NA;NA;NA;NA;1;0
299;10095323;1009;11.45529602;470;545;0;6;68;7;1;0
300;10096001;1009;11.95335237;486;436;0;2;43;2;0;0
301;10096386;1009;11.45529602;466;491;0;5;34;NA;0;0
302;10096485;1009;11.45529602;NA;536;NA;NA;NA;NA;1;0
303;10096532;1009;11.95335237;562;525;0;3;38;5;1;0
304;10096609;1009;11.95335237;543;505;0;3;43;2;1;0
305;10096728;1009;11.45529602;319;446;0;3;30;5;1;0
306;10110011;1011;10.41356543;446;484;0;3;38;3;1;0
307;10110041;1011;10.90944949;397;333;0;1;NA;2;1;0
308;10110365;1011;10.90944949;651;495;0;3;44;2;0;0
309;10110468;1011;10.90944949;370;485;0;4;51;NA;1;0
310;10110503;1011;10.41356543;559;490;1;1;NA;2;0;0
311;10110531;1011;10.41356543;377;295;0;1;43;2;0;0
312;10110588;1011;10.90944949;527;536;0;3;34;2;1;0
313;10110616;1011;10.90944949;637;563;0;1;33;1;0;0
314;10110784;1011;10.41356543;446;531;0;2;46;2;0;0
315;10110928;1011;10.41356543;538;479;1;1;29;2;1;0
316;10110974;1011;10.90944949;461;472;0;1;51;4;0;0
317;10111075;1011;10.90944949;570;579;0;5;70;7;0;0
318;10111412;1011;10.90944949;503;560;0;3;43;3;1;0
319;10111712;1011;10.90944949;559;589;0;4;51;3;1;0
320;10111844;1011;10.90944949;470;466;0;2;70;7;0;0
321;10111981;1011;10.41356543;270;293;NA;NA;NA;7;0;0
322;10112358;1011;10.90944949;637;606;0;3;53;2;0;0
323;10112838;1011;10.90944949;400;433;1;2;30;1;0;0
324;10112897;1011;10.41356543;536;519;0;NA;53;3;0;0
325;10112960;1011;10.90944949;503;430;0;NA;30;2;0;0
326;10112994;1011;10.41356543;639;596;0;4;59;NA;1;0
327;10113047;1011;10.41356543;498;347;1;2;16;1;0;0
328;10113286;1011;10.41356543;628;513;0;4;54;3;0;0
329;10113455;1011;10.41356543;237;276;NA;NA;NA;NA;0;0
330;10113524;1011;10.41356543;498;575;0;4;69;7;1;0
331;10113697;1011;10.90944949;291;NA;1;3;NA;2;0;0
332;10113717;1011;10.90944949;437;497;0;2;67;2;1;0
333;10113924;1011;10.90944949;476;423;0;1;69;2;0;0
334;10114044;1011;10.90944949;651;526;0;3;54;2;0;0
335;10114047;1011;10.41356543;616;557;1;4;44;2;1;0
336;10115085;1011;10.90944949;429;476;1;5;16;4;0;0
337;10115132;1011;10.90944949;466;460;0;4;43;2;1;0
338;10115443;1011;10.90944949;377;430;0;5;43;2;1;0
339;10115670;1011;10.41356543;370;376;0;3;53;4;0;0
340;10115783;1011;10.41356543;402;370;1;3;20;1;0;0
341;10115985;1011;10.41356543;592;486;0;4;43;3;1;0
342;10116053;1011;10.90944949;NA;544;NA;NA;NA;NA;1;0
343;10116323;1011;10.41356543;439;379;1;2;16;NA;0;0
344;10116664;1011;10.90944949;675;650;0;3;25;4;1;0
345;10120012;1012;8.763328282;502;534;NA;NA;NA;NA;1;0
346;10120082;1012;8.922661524;703;558;0;5;22;3;0;0
347;10120092;1012;8.922661524;637;601;0;6;68;7;1;0
348;10120167;1012;8.922661524;735;630;0;6;70;6;1;0
349;10120175;1012;8.922661524;648;558;0;3;65;2;0;0
350;10120245;1012;8.364995178;626;662;0;5;87;3;1;0
351;10120312;1012;8.922661524;614;557;0;NA;NA;NA;1;0
352;10120315;1012;8.364995178;565;547;1;4;34;1;0;0
353;10120591;1012;8.763328282;416;488;0;4;55;3;0;0
354;10120601;1012;8.922661524;595;535;NA;NA;NA;NA;0;0
355;10120716;1012;8.922661524;718;614;1;4;68;7;1;0
356;10120960;1012;8.763328282;607;434;1;1;NA;NA;0;0
357;10121126;1012;8.763328282;371;527;1;1;31;NA;1;0
358;10121160;1012;8.922661524;603;588;0;4;23;4;0;0
359;10121347;1012;8.922661524;565;511;0;NA;43;1;1;0
360;10121462;1012;8.763328282;594;530;0;6;44;2;0;0
361;10121559;1012;8.364995178;628;563;0;3;39;2;0;0
362;10121595;1012;8.763328282;603;563;0;NA;NA;NA;0;0
363;10121614;1012;8.922661524;499;443;0;2;43;3;0;0
364;10122003;1012;8.922661524;663;535;0;5;51;2;1;0
365;10122032;1012;8.364995178;605;670;1;4;70;7;1;0
366;10122179;1012;8.364995178;439;603;NA;NA;NA;NA;0;0
367;10122250;1012;8.364995178;764;661;NA;NA;NA;NA;0;0
368;10122349;1012;8.763328282;560;598;0;NA;NA;NA;1;0
369;10122688;1012;8.364995178;490;552;0;3;43;4;1;0
370;10122750;1012;8.763328282;729;622;0;6;54;7;1;0
371;10122958;1012;8.763328282;538;556;NA;NA;NA;NA;0;0
372;10123203;1012;8.763328282;587;602;1;6;NA;NA;1;0
373;10123268;1012;8.763328282;416;384;1;4;NA;6;0;0
374;10123381;1012;8.364995178;648;625;0;6;51;3;1;0
375;10123683;1012;8.364995178;473;393;0;1;40;3;1;0
376;10123700;1012;8.763328282;646;601;0;5;43;NA;1;0
377;10123782;1012;8.763328282;439;427;1;3;NA;7;0;0
378;10123847;1012;8.922661524;587;546;NA;NA;NA;NA;0;0
379;10124148;1012;8.364995178;476;494;0;3;NA;NA;1;0
380;10124157;1012;8.763328282;570;580;0;6;59;2;1;0
381;10124229;1012;8.364995178;583;597;0;4;51;2;1;0
382;10124299;1012;8.364995178;689;587;0;2;NA;NA;1;0
383;10124387;1012;8.763328282;663;617;0;NA;NA;NA;1;0
384;10124405;1012;8.364995178;511;449;0;NA;NA;2;0;0
385;10124421;1012;8.763328282;703;659;0;6;53;2;1;0
386;10124480;1012;8.364995178;439;555;0;3;53;2;1;0
387;10124546;1012;8.922661524;607;NA;0;2;NA;1;1;0
388;10124894;1012;8.364995178;466;530;0;NA;NA;NA;0;0
389;10124905;1012;8.922661524;565;418;0;NA;NA;4;0;0
390;10124974;1012;8.763328282;543;480;0;5;45;3;0;0
391;10124988;1012;8.763328282;775;535;NA;NA;NA;NA;0;0
392;10125045;1012;8.763328282;648;657;1;5;42;NA;1;0
393;10125077;1012;8.922661524;637;524;0;6;NA;2;1;0
394;10125205;1012;8.922661524;538;459;0;3;39;5;1;0
395;10125522;1012;8.364995178;616;575;0;2;51;2;1;0
396;10125546;1012;8.763328282;595;577;0;4;NA;NA;1;0
397;10126063;1012;8.364995178;549;434;0;3;NA;2;0;0
398;10126217;1012;8.763328282;414;440;1;5;NA;NA;1;0
399;10126296;1012;8.763328282;621;NA;NA;NA;NA;NA;0;0
400;10126336;1012;8.364995178;609;542;1;4;43;2;1;0
401;10126506;1012;8.364995178;576;466;0;NA;70;4;0;0
402;10126591;1012;8.364995178;626;506;0;4;30;5;1;0
403;10126744;1012;8.364995178;416;400;1;3;34;7;0;0
404;10150018;1015;5.759676864;609;541;0;4;51;2;0;0
405;10150064;1015;5.744439624;460;526;0;6;51;3;1;0
406;10150125;1015;5.768209719;621;567;0;6;39;4;1;0
407;10150337;1015;5.768209719;498;422;0;3;45;2;0;0
408;10150406;1015;5.744439624;464;445;0;4;34;2;0;0
409;10150508;1015;5.744439624;587;481;0;1;23;1;1;0
410;10150582;1015;5.759676864;510;530;0;5;34;2;1;0
411;10150687;1015;5.744439624;466;533;0;4;56;2;1;0
412;10150721;1015;5.768209719;524;461;0;1;43;1;0;0
413;10150909;1015;5.768209719;414;453;1;1;51;1;0;0
414;10150938;1015;5.759676864;498;420;1;6;16;7;0;0
415;10151017;1015;5.768209719;538;NA;0;3;29;2;0;0
416;10151146;1015;5.759676864;503;532;0;4;30;2;1;0
417;10151288;1015;5.759676864;549;488;0;3;34;2;0;0
418;10151292;1015;5.759676864;560;518;0;3;51;2;0;0
419;10151446;1015;5.744439624;503;538;1;3;29;2;1;0
420;10151479;1015;5.768209719;431;563;1;4;85;7;1;0
421;10151507;1015;5.768209719;464;389;0;1;43;2;0;0
422;10151530;1015;5.759676864;675;680;0;4;33;4;1;0
423;10151939;1015;5.759676864;408;546;0;4;43;4;1;0
424;10152063;1015;5.744439624;521;548;0;3;38;5;1;0
425;10152080;1015;5.759676864;592;660;1;6;40;4;1;0
426;10152090;1015;5.768209719;428;479;0;3;88;7;0;0
427;10152099;1015;5.759676864;237;359;1;6;NA;NA;0;0
428;10152196;1015;5.744439624;594;454;0;5;40;5;0;0
429;10152339;1015;5.768209719;570;573;0;3;34;NA;1;0
430;10152340;1015;5.744439624;NA;574;NA;NA;NA;NA;0;0
431;10152348;1015;5.768209719;NA;498;0;4;23;2;1;0
432;10152434;1015;5.759676864;515;507;0;5;38;5;1;0
433;10152560;1015;5.759676864;605;NA;0;6;88;7;1;0
434;10152643;1015;5.744439624;587;478;0;3;23;2;0;0
435;10152824;1015;5.744439624;538;424;0;5;30;7;0;0
436;10152836;1015;5.759676864;491;526;0;6;43;2;1;0
437;10152840;1015;5.759676864;486;476;0;4;56;4;1;0
438;10153041;1015;5.759676864;473;476;0;3;43;5;0;0
439;10153097;1015;5.768209719;703;639;0;5;66;7;1;0
440;10153198;1015;5.768209719;491;508;0;2;23;2;1;0
